,Marea,,,N%,,,C%,,,ADF%,,,ADL%,,,Cellulose%,,,_15N,,
Wave.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.
Intercept,116.849,125.063,41.520,1.612,1.162,0.342,59.220,58.980,3.293,59.108,59.547,4.280,35.437,36.527,3.734,25.957,25.905,2.377,-11.283,-11.154,1.466
500,17.959,17.786,6.264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
501,17.932,17.741,5.946,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
502,18.149,17.960,5.669,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
503,17.656,17.459,5.391,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
504,16.881,16.677,5.119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
505,16.374,16.180,4.861,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
506,15.304,15.113,4.586,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
507,14.309,14.116,4.323,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
508,13.900,13.707,4.081,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
509,14.125,13.930,3.823,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
510,14.134,13.942,3.556,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
511,13.613,13.425,3.303,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
512,12.790,12.600,3.080,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
513,12.541,12.353,2.889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
514,12.577,12.400,2.722,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
515,11.949,11.792,2.562,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
516,11.630,11.485,2.385,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
517,11.282,11.150,2.241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
518,10.364,10.259,2.170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
519,9.450,9.370,2.095,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
520,8.542,8.480,2.055,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
521,7.568,7.522,2.077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
522,6.469,6.448,2.086,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
523,5.125,5.124,2.085,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
524,3.481,3.495,2.085,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
525,1.514,1.558,2.117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
526,-0.337,-0.264,2.157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
527,-2.122,-2.027,2.192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
528,-4.211,-4.106,2.207,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
529,-6.555,-6.438,2.237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
530,-8.872,-8.746,2.287,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
531,-10.820,-10.700,2.346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
532,-12.586,-12.473,2.416,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
533,-13.646,-13.545,2.502,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
534,-13.771,-13.689,2.596,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
535,-14.088,-14.025,2.695,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
536,-14.128,-14.086,2.780,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
537,-13.770,-13.753,2.848,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
538,-13.700,-13.707,2.901,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
539,-13.057,-13.089,2.936,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
540,-12.080,-12.130,2.949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
541,-11.893,-11.945,2.925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
542,-11.638,-11.692,2.883,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
543,-11.410,-11.468,2.829,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
544,-11.564,-11.618,2.768,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
545,-11.603,-11.645,2.708,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
546,-11.737,-11.764,2.657,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
547,-12.158,-12.172,2.620,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
548,-12.509,-12.507,2.572,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
549,-12.697,-12.676,2.539,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
550,-12.759,-12.719,2.530,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
551,-13.009,-12.954,2.528,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
552,-13.025,-12.956,2.516,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
553,-12.858,-12.776,2.495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
