"","LMA_gDW_m2.9.comps"
"(Intercept)",55.2044006155974
"Wave_500",13.7578027334447
"Wave_501",13.2275609810163
"Wave_502",12.5154931171522
"Wave_503",12.4620563800939
"Wave_504",12.2169191081286
"Wave_505",11.8754265050972
"Wave_506",11.7298440037849
"Wave_507",11.7416000655681
"Wave_508",11.5852269007833
"Wave_509",11.4429071697595
"Wave_510",11.3879485409525
"Wave_511",11.3354664274428
"Wave_512",11.1392982377294
"Wave_513",10.9151942544566
"Wave_514",10.6590796242547
"Wave_515",10.4393523966496
"Wave_516",10.2832001445195
"Wave_517",10.0278287799176
"Wave_518",9.54650065968985
"Wave_519",8.82024346459824
"Wave_520",8.28425639387479
"Wave_521",7.87624707621175
"Wave_522",7.3514088426776
"Wave_523",6.55639217009567
"Wave_524",5.88275406545934
"Wave_525",4.92244755954135
"Wave_526",3.99342202416038
"Wave_527",3.22432956986424
"Wave_528",2.04816922949877
"Wave_529",1.16963623296059
"Wave_530",0.754188991743906
"Wave_531",0.294386544238849
"Wave_532",-0.220827284005406
"Wave_533",-0.78198219288067
"Wave_534",-1.37527871366532
"Wave_535",-1.6497432385501
"Wave_536",-1.83882746859063
"Wave_537",-2.04495921743108
"Wave_538",-2.21705957152592
"Wave_539",-2.42167817564846
"Wave_540",-2.59049661208552
"Wave_541",-2.70040685647438
"Wave_542",-2.77758629363179
"Wave_543",-2.91240742929124
"Wave_544",-2.96054992858339
"Wave_545",-3.07404689990311
"Wave_546",-3.37162695921242
"Wave_547",-3.72381023271492
"Wave_548",-3.95082200077876
"Wave_549",-4.2080385515987
"Wave_550",-4.60786943454717
"Wave_551",-5.01004956120892
"Wave_552",-5.44415185116054
"Wave_553",-5.76539428865208
"Wave_554",-6.06728768700895
"Wave_555",-6.25105206011205
"Wave_556",-6.38732803661359
"Wave_557",-6.59259580951784
"Wave_558",-6.74994579247919
"Wave_559",-6.99262568741769
"Wave_560",-7.14175822219359
"Wave_561",-7.2639160142558
"Wave_562",-7.32634360557795
"Wave_563",-7.39729380867356
"Wave_564",-7.32700792319277
"Wave_565",-7.13651479980149
"Wave_566",-7.12815569802709
"Wave_567",-7.23374420303031
"Wave_568",-7.08047288317287
"Wave_569",-6.69485131458953
"Wave_570",-6.57483028275756
"Wave_571",-6.06245247608504
"Wave_572",-5.4627867456915
"Wave_573",-4.9528402130871
"Wave_574",-4.72096990042121
"Wave_575",-4.35134527113378
"Wave_576",-3.80407694116005
"Wave_577",-3.36998873981416
"Wave_578",-3.17949637316585
"Wave_579",-2.78880037201544
"Wave_580",-2.3175051073005
"Wave_581",-2.01389601935316
"Wave_582",-1.71790073496528
"Wave_583",-1.45961480478083
"Wave_584",-1.09815659195923
"Wave_585",-0.80981956027761
"Wave_586",-0.606022324028189
"Wave_587",-0.329800523575645
"Wave_588",-0.00768513748478195
"Wave_589",0.175634129305763
"Wave_590",0.387014661832961
"Wave_591",0.5973440721446
"Wave_592",0.855548557975383
"Wave_593",1.068316980533
"Wave_594",1.18876520606021
"Wave_595",1.39143571318935
"Wave_596",1.551090815353
"Wave_597",1.64771726292176
"Wave_598",1.72871034096666
"Wave_599",1.65244146037568
"Wave_600",1.68475385652957
"Wave_601",1.78558920596729
"Wave_602",1.85814591400333
"Wave_603",1.77722127480723
"Wave_604",1.67779230158003
"Wave_605",1.65718954899946
"Wave_606",1.63939784725451
"Wave_607",1.58209807874617
"Wave_608",1.56493957678308
"Wave_609",1.51375119373464
"Wave_610",1.38250939152617
"Wave_611",1.27986162498093
"Wave_612",1.22931427252778
"Wave_613",1.21121984630099
"Wave_614",1.20096081273113
"Wave_615",1.14183034696787
"Wave_616",1.1780945950216
"Wave_617",1.23432307826644
"Wave_618",1.32993659216644
"Wave_619",1.46897696572934
"Wave_620",1.54539337340954
"Wave_621",1.60818338723448
"Wave_622",1.82719831206179
"Wave_623",1.92896866143869
"Wave_624",1.99158394394239
"Wave_625",2.12493619487418
"Wave_626",2.22264530399947
"Wave_627",2.29260084863365
