"","sqrt_LMA_gDW_m2.10.comps"
"(Intercept)",7.87605817247467
"Wave_500",0.873431485763988
"Wave_501",0.831842016925848
"Wave_502",0.773113506882928
"Wave_503",0.750630389426053
"Wave_504",0.721123461118099
"Wave_505",0.694924623663731
"Wave_506",0.67827641800593
"Wave_507",0.676003629066704
"Wave_508",0.663074583052104
"Wave_509",0.650366918085979
"Wave_510",0.640414890259854
"Wave_511",0.632110195384935
"Wave_512",0.628580755412657
"Wave_513",0.625120439637639
"Wave_514",0.614916787173215
"Wave_515",0.603688519764395
"Wave_516",0.59410613770428
"Wave_517",0.587993751362462
"Wave_518",0.569346026131537
"Wave_519",0.538870645454518
"Wave_520",0.510828017719409
"Wave_521",0.484655334825025
"Wave_522",0.457406524773996
"Wave_523",0.418895577174173
"Wave_524",0.378339182974073
"Wave_525",0.315907413171674
"Wave_526",0.251703977105757
"Wave_527",0.195622139926046
"Wave_528",0.123217691520842
"Wave_529",0.0575414885878489
"Wave_530",0.0191444129492843
"Wave_531",-0.0107974933052197
"Wave_532",-0.0502890881864838
"Wave_533",-0.0943994736167109
"Wave_534",-0.133442473181925
"Wave_535",-0.149930817237551
"Wave_536",-0.161169179982335
"Wave_537",-0.169141145779964
"Wave_538",-0.177495397738576
"Wave_539",-0.187052211550292
"Wave_540",-0.190606136000688
"Wave_541",-0.194103455192045
"Wave_542",-0.188199494386267
"Wave_543",-0.181998060750192
"Wave_544",-0.176602777581234
"Wave_545",-0.17495530325055
"Wave_546",-0.182042834172293
"Wave_547",-0.193932152787706
"Wave_548",-0.203035767263637
"Wave_549",-0.20651317549475
"Wave_550",-0.226745532492833
"Wave_551",-0.24549302115694
"Wave_552",-0.262934567698926
"Wave_553",-0.281846625631819
"Wave_554",-0.297821013193684
"Wave_555",-0.306270198600166
"Wave_556",-0.321975821107811
"Wave_557",-0.340263604796127
"Wave_558",-0.353777300495315
"Wave_559",-0.373029878430698
"Wave_560",-0.392995323639485
"Wave_561",-0.408288802632659
"Wave_562",-0.416168962411681
"Wave_563",-0.422661689851045
"Wave_564",-0.418234542144513
"Wave_565",-0.405347289608202
"Wave_566",-0.403175754247317
"Wave_567",-0.403256524402785
"Wave_568",-0.388011120338295
"Wave_569",-0.362985756963258
"Wave_570",-0.35875145611639
"Wave_571",-0.338017550012558
"Wave_572",-0.311351916829416
"Wave_573",-0.287372848098283
"Wave_574",-0.278061110027058
"Wave_575",-0.26020497349525
"Wave_576",-0.229568286390611
"Wave_577",-0.208881344068817
"Wave_578",-0.198098366205662
"Wave_579",-0.173283548966424
"Wave_580",-0.147372835143751
"Wave_581",-0.133069428378251
"Wave_582",-0.112462551964855
"Wave_583",-0.0922290669398476
"Wave_584",-0.0696341100675018
"Wave_585",-0.0461218518282803
"Wave_586",-0.0271551994519472
"Wave_587",-0.00558221183843837
"Wave_588",0.0135120024305993
"Wave_589",0.0293852366973946
"Wave_590",0.0503551411158966
"Wave_591",0.0679232893678162
"Wave_592",0.0923417690902738
"Wave_593",0.11718332818662
"Wave_594",0.135105516076066
"Wave_595",0.154065780455346
"Wave_596",0.17146011069644
"Wave_597",0.186678755715802
"Wave_598",0.201323036686389
"Wave_599",0.207913377076561
"Wave_600",0.21569414178133
"Wave_601",0.223890299468404
"Wave_602",0.229465343997504
"Wave_603",0.223931081612704
"Wave_604",0.213943583024863
"Wave_605",0.204224619931781
"Wave_606",0.192423710649705
"Wave_607",0.180530543015385
"Wave_608",0.169635157533881
"Wave_609",0.156412554560928
"Wave_610",0.141742893388616
"Wave_611",0.125347139230756
"Wave_612",0.11021325685798
"Wave_613",0.0978651072542554
"Wave_614",0.0895848264248684
"Wave_615",0.0814690983731209
"Wave_616",0.0803915351405106
"Wave_617",0.0816822257359265
"Wave_618",0.0879196078046656
"Wave_619",0.0944553279444057
"Wave_620",0.0990867308639981
"Wave_621",0.104301947883853
"Wave_622",0.117987397607324
"Wave_623",0.124980327315432
"Wave_624",0.130871721344935
"Wave_625",0.139534456667857
"Wave_626",0.144353438948458
"Wave_627",0.147224737482465
"Wave_628",0.142268884953739
"Wave_629",0.129834263467399
"Wave_630",0.114332889015964
"Wave_631",0.0970258660768052
"Wave_632",0.0954332011425314
"Wave_633",0.104621619217581
"Wave_634",0.112677654453903
"Wave_635",0.126236200192615
"Wave_636",0.144197485455808
"Wave_637",0.166433340969212
"Wave_638",0.200225849517987
"Wave_639",0.24077602301785
"Wave_640",0.280948045692586
"Wave_641",0.325133295226188
"Wave_642",0.364666994134169
"Wave_643",0.395697451588374
"Wave_644",0.437796115869169
"Wave_645",0.482121535020381
"Wave_646",0.517006983409705
"Wave_647",0.542915852156425
"Wave_648",0.577451730971741
"Wave_649",0.591481083508447
"Wave_650",0.59495195662605
"Wave_651",0.586938983949119
"Wave_652",0.570965943936817
"Wave_653",0.551410727729209
"Wave_654",0.52213560327469
"Wave_655",0.484409533506554
"Wave_656",0.440417225960755
"Wave_657",0.400890565066797
"Wave_658",0.362575403960877
"Wave_659",0.312477900728036
"Wave_660",0.27748458032653
"Wave_661",0.242094013804874
"Wave_662",0.204732013424301
"Wave_663",0.178969409190358
"Wave_664",0.159212932082248
"Wave_665",0.144134565235221
"Wave_666",0.130347820228255
"Wave_667",0.11898766769596
"Wave_668",0.108345687805973
"Wave_669",0.0989218752572706
"Wave_670",0.0919497147589833
"Wave_671",0.0798526409197747
"Wave_672",0.0664980221308769
"Wave_673",0.0540070316533474
"Wave_674",0.0350230198730994
"Wave_675",0.0179258688784959
"Wave_676",-0.00288199488980214
"Wave_677",-0.0326818698794751
"Wave_678",-0.0601581318283304
"Wave_679",-0.0871553753501438
"Wave_680",-0.113131036412317
"Wave_681",-0.140386737369184
"Wave_682",-0.171690966196645
"Wave_683",-0.194760702710937
"Wave_684",-0.212147586395075
"Wave_685",-0.230850257013072
"Wave_686",-0.245957024829143
"Wave_687",-0.232820959804718
"Wave_688",-0.2240389096255
"Wave_689",-0.232898919561184
"Wave_690",-0.202527816456387
"Wave_691",-0.161232570935574
"Wave_692",-0.14759902686563
"Wave_693",-0.131241448054903
"Wave_694",-0.101429438524946
"Wave_695",-0.109418291907888
"Wave_696",-0.117078732841562
"Wave_697",-0.12495363567866
"Wave_698",-0.127025580528181
"Wave_699",-0.17876264181294
"Wave_700",-0.222218780207729
"Wave_701",-0.241340123173137
"Wave_702",-0.277964864312668
"Wave_703",-0.308378672150154
"Wave_704",-0.289658057676716
"Wave_705",-0.216507437389454
"Wave_706",-0.22996275575875
"Wave_707",-0.221401351583944
"Wave_708",-0.163701184524223
"Wave_709",-0.060747197481808
"Wave_710",-0.0518947495639207
"Wave_711",-0.0220460878317365
"Wave_712",0.0353825205206057
"Wave_713",0.0983834771394228
"Wave_714",0.137591850345084
"Wave_715",0.185233348553823
"Wave_716",0.206372637964724
"Wave_717",0.245507726081154
"Wave_718",0.285373368479363
"Wave_719",0.268494922523672
"Wave_720",0.261957998808761
"Wave_721",0.270004902783701
"Wave_722",0.290733301014362
"Wave_723",0.257306899935154
"Wave_724",0.221385661866379
"Wave_725",0.177565786725399
"Wave_726",0.170114019329978
"Wave_727",0.173943183805113
"Wave_728",0.148728042649982
"Wave_729",0.103551783854312
"Wave_730",0.0755579833466523
"Wave_731",0.0333534046477632
"Wave_732",0.000672259980108891
"Wave_733",-0.0278057484414537
"Wave_734",-0.040945017647958
"Wave_735",-0.0774837762208525
"Wave_736",-0.0970647206910492
"Wave_737",-0.120736645105796
"Wave_738",-0.127635225491694
"Wave_739",-0.137834445292835
"Wave_740",-0.141268974408476
"Wave_741",-0.145231452570951
"Wave_742",-0.142275262607496
"Wave_743",-0.165694623472651
"Wave_744",-0.16872479730486
"Wave_745",-0.146737357528421
"Wave_746",-0.132483412166625
"Wave_747",-0.129470204731279
"Wave_748",-0.129291487723775
"Wave_749",-0.122999660083534
"Wave_750",-0.121298084991082
"Wave_751",-0.113891980473032
"Wave_752",-0.114277318498287
"Wave_753",-0.118660499234273
"Wave_754",-0.128461618808678
"Wave_755",-0.134067830135735
"Wave_756",-0.133183179847197
"Wave_757",-0.127211926114597
"Wave_758",-0.120811883781608
"Wave_759",-0.110157804559965
"Wave_760",-0.0945529131479608
"Wave_761",-0.0889706655906135
"Wave_762",-0.0817303624530342
"Wave_763",-0.0797535046567289
"Wave_764",-0.0808466196565463
"Wave_765",-0.0832825475464731
"Wave_766",-0.0921352388631679
"Wave_767",-0.0998163694634632
"Wave_768",-0.088537337912268
"Wave_769",-0.08698642031184
"Wave_770",-0.0829672783760162
"Wave_771",-0.0804389239181515
"Wave_772",-0.0781150136417875
"Wave_773",-0.0755402365454278
"Wave_774",-0.0753957306199024
"Wave_775",-0.064259206210495
"Wave_776",-0.0680074377162622
"Wave_777",-0.0603213772551524
"Wave_778",-0.0506680507656728
"Wave_779",-0.0564053398075054
"Wave_780",-0.0669395568136956
"Wave_781",-0.0679301374833137
"Wave_782",-0.0719453672368729
"Wave_783",-0.0776814679070341
"Wave_784",-0.075528093186011
"Wave_785",-0.0731511046947143
"Wave_786",-0.0787642285927266
"Wave_787",-0.0783765685692572
"Wave_788",-0.0747145403759302
"Wave_789",-0.0775731993696174
"Wave_790",-0.0803699734129894
"Wave_791",-0.0800883870271119
"Wave_792",-0.0818424370132437
"Wave_793",-0.0856440655839125
"Wave_794",-0.0864577817685662
"Wave_795",-0.0864901735984375
"Wave_796",-0.0848826519299004
"Wave_797",-0.0875238927457654
"Wave_798",-0.0954933281095267
"Wave_799",-0.0969955646926722
"Wave_800",-0.105939464593399
"Wave_801",-0.105154905538934
"Wave_802",-0.10033383084249
"Wave_803",-0.10500153053107
"Wave_804",-0.0992366934683941
"Wave_805",-0.101643559351949
"Wave_806",-0.104598431579536
"Wave_807",-0.102959844392808
"Wave_808",-0.106618307901275
"Wave_809",-0.107458410193697
"Wave_810",-0.0969741819464074
"Wave_811",-0.0896635337329576
"Wave_812",-0.091125387927003
"Wave_813",-0.0853205138621507
"Wave_814",-0.086652399531804
"Wave_815",-0.088097305472721
"Wave_816",-0.0776176473723884
"Wave_817",-0.0860608975148491
"Wave_818",-0.0924564470855456
"Wave_819",-0.0876488309576375
"Wave_820",-0.0902152247267197
"Wave_821",-0.0933197294564436
"Wave_822",-0.0935008025952864
"Wave_823",-0.0809137460245243
"Wave_824",-0.079943706654747
"Wave_825",-0.0895147471033374
"Wave_826",-0.0907885933462818
"Wave_827",-0.0930531629751464
"Wave_828",-0.105099370179242
"Wave_829",-0.099137323281854
"Wave_830",-0.0834039301700907
"Wave_831",-0.0822236792735943
"Wave_832",-0.0831107711994265
